o,y,m,lx_kh,lx_th,cld_kh,cld_th,pt_kh,pt_th,dt_kh,dt_th,ln_th,ngay_lv,scc_dt,ds_dt,dvgt_dt,dvgt_b1053,dong_dt,son_cld,dt_lsc,bh_lsc,ds_lsc,dt_son,son_dt,gv_son,cvdv,scc_n,b_n,p_n,hs_cvdv_m,hs_scc_m,hs_b_m,hs_p_m,lx_nt,dt_nt,cld_nt,pt_nt,csi_n,csi_kg,csi_td,csi_cvdv,csi_tt,csi_clsc,csi_grx,csi_ov
HNB,2024,8,471,367,452.935,398.412,937.368,760.503,1434.398,1172.994,159.613,26,9.717,132.983,77.6,77.6,41.017,151.174,1172.994,247.884,337.449,151.174,151.174,30.152,3,7,2,4,391,25.7,20.5,37.8,0,0,0,0,0,,,,,,,
HNB,2024,9,440,406,437.665,415.758,813.836,723.733,1294.11,1144.653,182.932,26,8.16,197.552,89.58,89.58,30.696,94.932,1144.653,266.511,341.041,94.932,94.932,19.302,3,7,2,4,381.6,27.5,15.3,23.7,0,0,0,0,0,,,,,,,
HNB,2024,10,511,504,501.75,574.033,968.465,831.268,1519.062,1439.002,267.504,26,8.575,249.6,112.95,112.95,42.198,194.411,1439.002,436.386,444.344,194.411,194.411,37.311,3,7,2,4,479.7,36.7,21.1,48.6,0,0,0,0,0,,,,,,,
HNB,2024,11,517,564,530.753,668.645,949.492,896.271,1531.917,1584.538,341.465,26,13.585,285.593,139.555,139.555,57.658,191.876,1584.539,302.711,535.609,191.876,191.876,34.262,3,7,2,4,528.2,41,28.8,48,0,0,0,0,0,,,,,,,
HNB,2024,12,565,488,596,562.572,1001.377,973.793,1655.4,1605.942,251.983,26,22.629,199.373,125.58,125.58,57.549,227.019,1605.943,495.596,341.939,227.019,227.019,41.011,3,7,2,4,535.3,37,28.8,56.8,0,0,0,0,0,,,,,,,
HNB,2025,1,409,532,491.829,612.762,711.593,1185.871,1223.277,1824.941,263.086,26,13.72,209.153,143.12,143.12,38.446,234.631,1824.942,325.411,529.349,234.631,234.631,42.234,3,7,2,4,608.3,42.2,19.2,58.7,0,0,0,0,603,0.9585,0.9641,0.9555,0.9457,0.9585,0.9585,0.9568
HNB,2025,2,450,444,485.466,418.237,793.193,823.208,1298.258,1260.437,175.433,26,7.097,155.758,87.382,87.382,50.811,136.182,1260.437,336.689,450.217,136.182,136.182,24.505,3,7,2,4,420.1,29.6,25.4,34,0,0,0,0,542,0.9613,0.9656,0.9573,0.9533,0.9587,0.9587,0.9592
HNB,2025,3,485,497,463.875,504.139,811.063,946.421,1293.665,1467.509,231.333,26,3.828,199.658,121.64,121.64,41.191,154.772,1467.435,258.084,536.44,154.772,154.772,27.632,3,7,2,4,489.1,35.5,20.6,38.7,0,0,0,0,531,0.9605,0.9659,0.956,0.9501,0.9519,0.9557,0.9567
HNB,2025,4,419,500,479.054,558.546,812.247,857.742,1310.64,1442.645,247.06,26,10.27,184.05,111.409,111.409,57.766,221.408,1442.485,435.717,531.973,221.408,221.408,39.332,3,7,2,4,480.8,35.9,28.9,55.4,0,0,0,0,531,0.9774,0.9802,0.9779,0.9669,0.972,0.9757,0.975
HNB,2025,5,425,446,524.621,494.254,824.779,911.345,1370.579,1421.092,228.403,26,11.87,180.946,110.01,110.01,41.402,165.519,1421.092,386.916,325.248,165.519,165.519,30.108,3,7,2,4,473.7,37.5,20.7,41.4,0,0,0,0,567,0.9612,0.9657,0.9614,0.9414,0.9561,0.9544,0.9567
HNB,2025,6,444,533,525.495,593.024,812.927,957.704,1359.637,1574.487,267.187,26,13.935,227.002,143.84,143.84,54.409,177.597,1570.487,409.214,450.317,177.597,177.597,32.718,3,7,2,4,523.5,44.5,27.2,44.4,0,0,0,0,555,0.9477,0.943,0.9178,0.9158,0.9292,0.9371,0.9318
HNB,2025,7,471.5908,521,528.915,583.114,915.626,963.927,1465.893,1565.745,274.508,26,8.188,223.286,114.4,114.4,58.325,197.62,1565.745,362.242,534.005,197.62,197.62,36.167,3,7,2,5,521.9,38.8,29.1,39.5,0,0,0,0,542,0.9668,0.9698,0.9674,0.9525,0.97,0.9666,0.9655
HNB,2025,8,467.3735,497,492.317,601.038,902.224,1283.452,1414.416,1902.238,270.13,26,14.635,201.91,135.95,135.95,62.247,204.044,1902.238,385.3,709.339,204.044,204.044,37.041,3,7,2,4,634.1,41.7,31.1,51,0,0,0,0,523,0.9637,0.9696,0.9576,0.9628,0.9588,0.9645,0.9628
HNB,2025,9,441.8638,490,533.188,557.829,859.653,1059.567,1414.366,1693.436,225.255,26,22.49,228.35,97.14,97.14,63.071,222.818,1658.337,704.789,572.224,222.818,222.818,40.958,3,7,2,4,552.8,35.6,33.1,55.7,0,0,0,0,499,0.9599,0.967,0.9451,0.9561,0.9556,0.9601,0.9573
